Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,האם האפליקציה שלך אוספת או משתפת סוג כלשהו של נתוני משתמשים שצריך לדווח על איסוף או שיתוף שלהם?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,האם כל נתוני המשתמשים שנאספו על ידי האפליקציה מוצפנים בזמן ההעברה?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,,MULTIPLE_CHOICE,באילו מהשיטות הבאות ליצירת חשבונות האפליקציה שלך תומכת? יש לבחור את כל האפשרויות המתאימות / שם משתמש וסיסמה
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,,MULTIPLE_CHOICE,באילו מהשיטות הבאות ליצירת חשבונות האפליקציה שלך תומכת? יש לבחור את כל האפשרויות המתאימות / שם משתמש ואמצעי אימות אחר
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,true,MULTIPLE_CHOICE,"באילו מהשיטות הבאות ליצירת חשבונות האפליקציה שלך תומכת? יש לבחור את כל האפשרויות המתאימות / שם משתמש, סיסמה ואמצעי אימות אחר"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,true,MULTIPLE_CHOICE,באילו מהשיטות הבאות ליצירת חשבונות האפליקציה שלך תומכת? יש לבחור את כל האפשרויות המתאימות / OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,באילו מהשיטות הבאות ליצירת חשבונות האפליקציה שלך תומכת? יש לבחור את כל האפשרויות המתאימות / אחר
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,באילו מהשיטות הבאות ליצירת חשבונות האפליקציה שלך תומכת? יש לבחור את כל האפשרויות המתאימות / האפליקציה שלי לא מאפשרת למשתמשים ליצור חשבון
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,יש לתאר את שיטת יצירת החשבון שהאפליקציה שלך תומכת בה
PSL_ACCOUNT_DELETION_URL,,https://betshuva.com/betshuva-app/delete-account,MAYBE_REQUIRED,יש להוסיף קישור שבאמצעותו המשתמשים יוכלו לבקש למחוק את החשבון ואת הנתונים המשויכים אליו 
